barcode,name,brand,ingredients,allergens,energy_100g,energy_kcal_100g,fat_100g,saturated_fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,serving_size,category,is_sustainable
5413548040479,Raffaello,Ferrero,"desiccated coconut 25,5%, vegetable fats (palm, shea), sugar, almond (8%), skimmed milk powder, whey powder (milk), wheat flour, tapioca starch, flavourings, emulsifier: lecithins (soya), raising agent (sodium bicarbonate), salt, suitable for vegetarians","almonds, cereals-containing-gluten, coconut, milk, soybeans, tree-nuts",2600.0,627.0,48.3,29.5,38.6,33.6,7.4,10g,Food,0
5449000051547,Coca-Cola Original Taste,Coca Cola,"Carbonated Water, Sugar, Colour (Caramel E150d). Acid (Phosphoric Acid), Natural Flavourings, Caffeine Flavouring.",caffeine,180.0,42.0,0.0,0.0,10.6,10.6,0.0,330ml,Beverages,0
5449000155306,Fanta Orange,"Fanta, Fanta-light","Carbonated Water, Orange Juice from Concentrate (7%) Citrus Extract (1%), Citric Acid, Sweeteners (Acesulfame K, Aspartame, Sodium Saccharin), Preservative (Potassium Sorbate). Natural Orange Flavouring with other Hatural Flavourings. Antioxidant (Ascorbic Acid), Stabiliser (Guar Gum), Colour (Carotenes), Fruit and Vegetable Concentrates (Blackcurrant and Blackcarrot). Contains a Source of Phenylalanine.","ascorbic-acid-vitamin-c, aspartame, citric-acid, guar-gum, orange, phenylalanine",17.0,4.0,0.0,0.0,0.8,0.8,0.0,250g,Food,0
5449000215574,Lilt pineapple and grapefruit,Coca-Cola Company,"carbonated water, fruit juices from concentrates 5% 1,75 le best enjoyed ice cold lilt rosin), colour (carotenes), per: energy: container, please opan by hand best before end-sea fat:",,84.0,20.0,0.0,0.0,4.6,4.6,0.0,250ml,Beverages,0
5449000265104,"Coca-Cola Energy, No Sugar",The Coca-Cola Company,"Sparkling Water, Acids (Citric Acid, Phosphoric Acid), Natural Flavourings, Colour (Caramel E150d). Acidity Regulator (Sodium Bicarbonate), Sweeteners (Acesulfame K, Sucralose), Caffeine (0.03%); Preservatives (Sodium Benzoate, Potassium Sorbate). Vitamins (Niacin (B3), Vitamin B6), Guarana Extract (0.001%).","caffeine, citric-acid, sucralose",1.9,0.4,0.0,0.0,0.0,0.0,0.0,250ml,Beverages,0
5503242343430,Stoofperen,Delicieux,"Peren, water, suiker, zwartwortelextract, voedingszuur: citroenzuur; gebrande suiker, kaneel",,314.0,74.0,0.0,0.0,17.0,17.0,0.5,100g,Beverages,0
56042046,Doritos Original,Doritos,"corn (maize), vegetable oils (corn, sunflower, rapeseed, in varying proportions), cool original flavour (flavouring (contains milk), salt, glucose syrup, sugar, onion powder, potassium chloride, cheese powder (from milk), garlic powder, tomato powder, flavour ehancers (monosodium glutamate disodium 5'-ribonucleotides), acidity regulators malic acid, sodium acetates, citric acid), colour amatto bixin), milk protein, spice), allergy advice contains: see highlighted ingredients may contain:  wheat, gluten, borley, soya suitable for vegetarians f doritosuk suk 70030070","cereals-containing-gluten, citric-acid, corn-maize, garlic, milk, msg-monosodium-glutamate, onion, soybeans, sunflower-lecithin, tomato",2078.0,496.67,25.67,3.33,58.0,1.47,6.0,30g,Food,0
57030609,Cadbury Fudge,Cadbury,"sugar, glucose syrup, palm oil, coca butter, cocoa mass, whey powder (milk), skimmed milk powder, whey permeate powder (milk), milk fat, emulsifiers (lecithins, e471, e442), flavourings, acidity regulator (sodium carbonates), salt, acid (citric acid), stabiliser (e509),","citric-acid, cocoa, milk",1860.0,445.0,15.5,8.18,77.3,63.6,1.82,1serving,Food,0
5810953168734,Coffee chocolade mocha,Melkunie,"38% magere melk, 20% volle melk, melkeiwitisolaat, melkeiwitconcentraat, water, 2,4% koffie concentraat (koffie, water), 1,4% suiker, mager cacaopoeder, lactase, natuurlijke aroma, zuurteregelaar: trinatriumcitraat, stabilisator: carrageen.",milk,243.0,57.0,1.0,0.6,6.0,4.8,6.1,330g,Beverages,0
5900197030000,Protein Yogurt Strawberry,"Aldi,Bakoma","Milk, Milk Protein 10%, Strawberries 1.8%, Black Carrot Juice Concentrate, Flavourings, Sweetener: Sucralose, Live Yogurt Bacterial Cultures","carrot, milk, strawberry, sucralose",312.0,74.0,1.5,1.1,5.1,4.9,10.0,230g,Food,0
5900197030895,Protein Yogurt: Strawberry,Bakoma,"milk, concentrated skimmed black carrot juice concentrate, flavourings, milk, milk protein, strawberries 1,4%, sweetener sucralose, live yogurt bacteria cultures","carrot, milk, strawberry, sucralose",322.0,76.0,1.5,1.1,7.1,6.7,8.7,230g,Food,0
5900334015105,Tymbark,Tymbark,"Water juices from concentrate from: apple (13,5%), chokeberry (3,5%) and grape (3%), sugar, juices from concentrates from: grapefruit (0,1%) and pomegranate (0,02%), acidity regulators: citric acid and sodium citrates, stabilizers: guar gum and xanthan gum, black carrot concentrate, flavourings, vitamins: niacin, B6, folic acid, B12, biotin and pantothenic acid, sweetener-sucralose. Best before end: /Batch number (L): see print on top of the packaging.","apple, carrot, citric-acid, grape, grapefruit, guar-gum, pomegranate, sucralose, xanthan-gum",87.1,20.8,0.0,0.0,5.0,5.0,0.0,240ml,Food,0
5900552065760,Energy Gold,Black Energy,"Water, sugar, carbon dioxide, acid: citric acid; taurine (0,35%), acidity regulator: sodium citrates; flavourings, caffeine (0,03%), colourings: E 150d, riboflavins; vitamins: niacin, pantothenic acid, vitamin B6, vitamin B12; sweeteners: aspartame, acesulfame K.","aspartame, caffeine, citric-acid, phenylalanine",87.0,20.0,0.0,0.0,4.8,4.2,0.0,250ml,Health & Supplements,0
5900649064683,3 in 1 Coffees,Mokate,"Sugar, glucose syrup, coconut oil, coffee (5%) [instant coffee, stabilisers: sodium citrates, potassium phosphates; flavourings, saltduct may contain soybeans. Best before (BB) and production lot number (P) on the back of the package.","caffeine, coconut, soybeans",1810.0,429.0,8.7,8.0,85.0,65.0,1.9,17g,Beverages,0
5900820001353,Kefir,Milko,"_Milk_, live cultures of kefir bacteria.",,195.0,46.0,1.5,1.0,4.6,4.6,3.6,250ml,Other,0
5900820005757,Semi Fat Curd Cheese,Mlekpol mazurski smak,"Milk, Milk bacterial cultures",milk,497.0,118.0,4.0,3.0,3.5,3.5,17.0,100g,Food,0
5900951272967,M&M's Crunchy Caramel,Mars,"sugar, cocoa mass, full cream milk powder, lactose, cocoa butter, glucose syrup, butter (from milk), starch, shea kernel oil, sweetened condensed skimmed milk, palm oil, palm fat, shea fat, emulsifiers (soya lecithin, E471), stabiliser (gum arabic), colours (E100, E133, E160a, E160e, E162, E171 E172), salt, dextrin, flavourings, raising agent (E500). peanuts, glazing agent (carnauba wax), palm kernel oil, natural vanilla extract. (May contain: hazelnut). Milk chocolate  contains milk solids 14% minimum.","chocolate, cocoa, hazelnuts, lecithin, milk, peanuts, soybeans, tree-nuts, vanilla",2000.0,478.0,18.0,11.0,74.0,69.0,3.9,36g,Food,0
5900951313196,Galaxy Smooth Caramel,Galaxy,"sugar, glucose syrup, skimmed milk powder, cocoa butter, palm fat, cocoa mass, milk fat, whey permeate (milk), emulsifier (soya (18%) lecithin), salt, (may contain: peanuts, almonds, hazelnuts, wheat), milk chocolate contains milk solids 14% minimum,","cereals-containing-gluten, chocolate, cocoa, lecithin, milk, peanuts, soybeans",2025.0,484.0,24.0,14.0,60.0,54.0,5.5,1bar,Food,0
5901028916227,Junge Erbsen,Pinguin,Erbsen,,310.0,74.0,0.9,0.2,8.6,2.5,5.7,150g,Other,0
5905704503121,Pierogi Ruskie,Anita,"Wheat flour, water, fried onions 6,5% (onions, pork fat, canola oil), potato flakes 4,9%; cottage cheese 3,2%; canola oil, stabiliser: guar gum; wheat fibre, pepper, salt, colour carotene, Filling content not less than 35%. The product may contain soy, eggs, celery and mustard seeds. Product should be eaten after cooking - preparation.","bell-pepper, celery, cereals-containing-gluten, eggs, guar-gum, milk, mustard, pork, potato, soybeans",832.0,197.0,2.6,0.6,37.0,2.2,5.6,250g,Food,0
5906936680192,Buckwheat groats,Plony Natury,buckwheat,"buckwheat, cereals-containing-gluten",1450.0,344.0,3.2,0.8,60.0,3.2,14.0,50g,Other,0
5997523315757,soba noodles duck,Nissin,"wheat flour, palm oil, salt, flavour enhancer (e621), flour treatment agents (e500, e451), antioxidant (e306), acidity regulator: citric acid. sugar, rapeseed oil, soy sauce (water, soybean, wheat, salt), dextrose, water, soybean paste (soybean, wheat flour, water, salt), flavour enhancers (e621, e635), hydrolysed maize protein, flavourings, salt, modified starch, vinegar, chicken fat, colour (plain caramel), spices, carrot, duck meat (0,9%), green onion,","carrot, cereals-containing-gluten, chicken, citric-acid, corn-maize, msg-monosodium-glutamate, onion, soybeans",849.0,203.0,8.8,3.31,25.7,4.1,4.4,1portion,Food,1
6001275001703,Taystee wheat,Jungle,WHEAT SEMOLINA,cereals-containing-gluten,1410.0,337.0,1.33,,70.0,,10.7,30g,Food,0
6009678812520,Roast Veg Seasoning,I love Air Fryer,"Salt, Garlic, Black Pepper, Parsley.","bell-pepper, garlic",2.0,2.0,0.0,0.0,1.0,0.1,0.0,15g,Condiments & Others,0
6176000071402,Jus nature d’Ananas,Africa drink,"Ananas, Acide Citrique.",,205.0,49.0,0.5,0.2,11.6,11.6,0.3,330g,Beverages,0
6300900235347,Protein milk chocolate,Balade à,"Fresh Cow's Milk, Milk Solids, Sugar, Cocoa Powder, Emulsifier (E331, E339), Stabilizers (E407, E412, E471), Nature Identical Chocolate Flavor, Nature Identical Vanilla Flavor, Vitamin A, Vitamin D3","carrageenan, chocolate, cocoa, guar-gum, milk, vanilla",410.0,98.0,2.2,1.5,10.5,6.0,9.0,360g,Food,0
6500220585492,Yaourt nature sans sucre,DOLAIT,"Eau, lait entier en poudre 26% M.G. Stabilisant: E1422, E440, Ferments lactiques, Conservateur: E202 Nutrition Facts Serving size 100g.",,59.4,14.2,0.7,,0.9,,0.9,500g,Other,0
67895420,Mayo,Hellmans,"SOYBEAN QIL, WATER, WHOLE EGGS Total Fat 11g Sat. Fat 1.5g Trans Fat Og Polyunsat. Fat 6g Monounsat. Fat 2.5g 8% Sodium 95mg Total Carb. Og Protein Og Not a significant source of dietary fiber, total sugars, adde vitamin D, calcium, iron and potassium. erving AND EGG YOLKS, DISTILLED VINEGAR, SALT, SUGAR. LEMON JUICE CONCENTRATE, CALCIUM DISODIUM EDTA (USED TO PROTECT QUALITY), NATURAL FLAVORS. OUNILEVER ENGLEWOOD CUFES US75","eggs, lemon, soybeans",418.0,100.0,11.0,1.5,,,,14g,Health & Supplements,0
6917878030623,Nescafé Smoovlatté,Nescafé,"water, milk powder, sugar, soluble coffee, emulsifier (e473), flavouring,","caffeine, milk",250.0,,2.2,,7.9,,2.0,268g,Beverages,0
6920548862998,旺仔QQ糖荔枝味,旺仔,"Candy - Lychee Flavour Corn Syrup, Sugar, Gelatin, Glucose, Acidity Regulators (Citric Acid, Sodium Citrates), Concentrated Apple Juice, Humectant (Sorbitol), Lychee Flavouring 0.3%, Thickener (Pectin), Glazing Agent (Modified Palm and Palm Kernel Oil, Carnauba Wax), Concentrated Lychee Juice 0.2%, Antioxidant (Citric Acid).","apple, citric-acid, corn-maize, gelatin",1340.0,319.0,0.0,0.2,73.2,51.2,6.1,70g,Beverages,0
